City,month,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,NH3,AQI
Hyderabad,2019-03-01,46.99903225806452,115.5958064516129,4.467096774193548,36.56612903225806,22.635161290322582,0.6212903225806451,8.020645161290322,31.30258064516129,1.8619354838709676,14.412258064516129,14.922580645161291,106.16129032258064
Hyderabad,2019-04-01,36.824666666666666,94.34833333333333,4.064666666666667,32.82366666666667,20.448,0.596,6.318666666666667,42.39633333333333,1.5896666666666666,10.460666666666667,13.410333333333334,94.8
Hyderabad,2019-05-01,43.067096774193544,125.5841935483871,3.863225806451613,30.84225806451613,19.31677419354839,0.6383870967741935,8.540645161290323,44.303225806451614,2.611612903225806,16.60741935483871,16.916774193548385,113.41935483870968
Hyderabad,2019-06-01,23.173000000000002,57.309666666666665,2.1839999999999997,18.222666666666665,11.176333333333334,0.40700000000000003,5.074,34.81266666666667,0.607,3.8576666666666664,11.723666666666666,64.66666666666667
Hyderabad,2019-07-01,15.968709677419357,39.932580645161295,3.068064516129032,12.817096774193548,8.778387096774193,0.37741935483870964,6.128064516129032,19.76322580645161,0.27999999999999997,1.9387096774193548,9.436451612903225,48.096774193548384
Hyderabad,2019-08-01,17.43903225806452,48.82064516129032,4.735806451612904,19.24225806451613,13.321290322580644,0.38967741935483874,8.451935483870967,16.726451612903226,0.4341935483870968,2.142258064516129,16.24,57.25806451612903
Hyderabad,2019-09-01,20.853666666666665,42.043,4.62,16.988,11.127999999999998,0.42233333333333334,6.3566666666666665,16.384333333333334,0.30566666666666664,2.427333333333334,11.200999999999999,49.96666666666667
Hyderabad,2019-10-01,38.41903225806452,68.80387096774194,5.70258064516129,24.070645161290326,15.080967741935483,0.5990322580645161,4.146774193548388,19.918064516129032,0.7470967741935484,5.804516129032258,10.17451612903226,78.51612903225806
Hyderabad,2019-11-01,68.56333333333333,130.779,5.35,33.52466666666667,21.255666666666666,0.6866666666666668,7.547666666666667,30.541999999999998,2.02,13.559666666666667,13.616999999999999,137.96666666666667
Hyderabad,2019-12-01,65.04774193548387,121.6258064516129,10.358387096774194,40.175161290322585,28.53806451612903,0.7803225806451614,6.513548387096773,27.885483870967743,1.53,8.913548387096775,15.13774193548387,131.32258064516128
Hyderabad,2020-01-01,52.32258064516129,104.00645161290323,10.571612903225807,34.10935483870968,25.248064516129034,0.5532258064516129,7.817096774193548,28.283870967741933,0.3867741935483871,2.460322580645161,18.25,104.54838709677419
Hyderabad,2020-02-01,43.74655172413794,98.05379310344827,12.570689655172414,34.82344827586207,27.04586206896552,0.49379310344827587,7.524137931034482,28.110000000000003,0.9393103448275861,6.873103448275862,20.284827586206895,94.96551724137932
Hyderabad,2020-03-01,35.884838709677425,80.47096774193548,8.240322580645161,23.719677419354838,18.140645161290323,0.4906451612903226,5.828387096774194,26.851935483870967,2.0458064516129033,9.912258064516129,13.95032258064516,78.74193548387096
Hyderabad,2020-04-01,30.010333333333335,59.741,7.852,22.404999999999998,16.785999999999998,0.47633333333333333,5.885666666666666,28.036333333333335,1.3076666666666665,6.95,14.329,65.0
Hyderabad,2020-05-01,30.11774193548387,80.47806451612904,6.007096774193548,26.23483870967742,17.748709677419356,0.46064516129032257,6.14483870967742,31.24451612903226,1.6283870967741936,11.725161290322582,13.455483870967742,79.35483870967742
Hyderabad,2020-06-01,18.634333333333334,45.096333333333334,6.046333333333333,21.728,15.229999999999999,0.31166666666666665,6.520666666666667,18.5,0.7906666666666666,5.519333333333334,14.946333333333333,47.06666666666667
Hyderabad,2020-07-01,26.83,66.5,2.94,27.18,16.13,0.43,6.07,13.2,1.31,16.51,9.32,48.0
Jaipur,2017-10-01,94.95185185185184,177.68037037037035,18.154074074074074,34.342962962962964,44.059629629629626,0.6288888888888889,9.164814814814816,39.3437037037037,2.455925925925926,6.757037037037037,39.66444444444445,221.96296296296296
Jaipur,2017-11-01,110.87566666666666,193.34133333333332,34.57933333333334,61.89833333333333,71.62533333333334,0.616,7.408,64.989,5.152,13.011,30.148666666666667,239.6
Jaipur,2017-12-01,77.94833333333332,147.66,21.008333333333333,35.336999999999996,25.878333333333334,0.0,9.981666666666666,59.665333333333336,4.575333333333333,4.586,21.84,169.33333333333334
Jaipur,2018-01-01,82.18645161290321,171.33387096774194,28.32,45.69935483870968,45.38935483870968,0.22774193548387095,13.192258064516128,50.90064516129033,3.3890322580645162,6.639677419354838,34.31967741935484,190.29032258064515
Jaipur,2018-02-01,85.85285714285715,150.4932142857143,19.288928571428574,33.05214285714286,44.473571428571425,1.009642857142857,12.307142857142859,61.074642857142855,1.1385714285714286,6.45,23.31607142857143,184.78571428571428
Jaipur,2018-03-01,47.31645161290322,117.95096774193549,11.846774193548388,39.82967741935484,47.052258064516124,0.7948387096774193,9.860322580645162,61.038387096774194,0.7567741935483872,2.826451612903226,22.272903225806452,124.03225806451613
Jaipur,2018-04-01,57.60766666666667,158.96533333333335,9.761333333333333,36.212,40.303,0.743,8.355666666666668,65.23433333333334,0.545,6.843666666666667,23.937333333333335,156.3
Jaipur,2018-05-01,63.77645161290322,179.55548387096775,10.329677419354839,31.82741935483871,35.39354838709678,0.984516129032258,10.073870967741936,78.06,1.072258064516129,7.386774193548387,18.529354838709676,172.2258064516129
Jaipur,2018-06-01,68.03633333333333,175.89266666666666,9.306999999999999,19.853333333333335,25.525,0.644,9.838333333333333,51.654333333333334,0.6106666666666667,2.505666666666667,20.715,171.16666666666666
Jaipur,2018-07-01,47.20322580645161,96.32225806451612,9.87774193548387,18.063548387096777,27.574193548387097,0.6170967741935484,9.623225806451613,32.163225806451614,0.7358064516129031,3.441290322580645,12.34290322580645,110.03225806451613
Jaipur,2018-08-01,42.47548387096774,105.0232258064516,11.990967741935485,21.63032258064516,28.885806451612904,0.6964516129032258,9.498709677419354,28.482258064516127,0.6329032258064516,8.990645161290322,12.43774193548387,105.0
Jaipur,2018-09-01,39.815333333333335,98.67266666666666,15.171,22.356333333333335,32.443333333333335,0.8423333333333333,10.512666666666666,25.128666666666668,0.7646666666666667,6.039666666666666,17.445333333333334,99.0
Jaipur,2018-10-01,61.92225806451613,136.42387096774195,22.006129032258066,40.62645161290323,52.01774193548387,1.1825806451612904,10.949354838709677,50.88,1.5048387096774194,10.588709677419354,22.981612903225805,148.1290322580645
Jaipur,2018-11-01,74.41366666666666,161.69733333333335,33.48733333333333,47.638333333333335,68.61633333333333,1.6193333333333333,12.128333333333334,45.40333333333333,1.9043333333333334,5.102666666666666,17.901,178.13333333333333
Jaipur,2018-12-01,67.7490322580645,142.94064516129032,37.19096774193549,42.520322580645164,67.21774193548387,1.4270967741935485,13.890967741935484,39.071290322580644,1.7712903225806453,8.353225806451613,21.47967741935484,164.74193548387098
Jaipur,2019-01-01,62.39935483870968,138.53354838709677,20.641290322580645,28.46,40.36774193548387,1.1058064516129034,15.781290322580643,41.652580645161294,1.533548387096774,7.3664516129032265,23.15967741935484,150.29032258064515
Jaipur,2019-02-01,48.77571428571429,109.55821428571429,13.617857142857144,30.768571428571427,36.85857142857143,1.0882142857142856,11.921785714285715,44.64821428571429,1.0282142857142857,8.530357142857143,26.302857142857142,118.71428571428571
Jaipur,2019-03-01,40.8416129032258,100.27580645161291,12.27741935483871,33.01774193548387,37.75290322580645,0.9416129032258065,11.250322580645161,54.54032258064516,1.0154838709677418,6.521290322580645,25.023225806451613,106.7741935483871
Jaipur,2019-04-01,51.480000000000004,154.14333333333335,16.922,34.85166666666667,42.687,0.9926666666666667,14.157666666666668,61.311,1.0003333333333333,5.538666666666667,28.315333333333335,151.0
Jaipur,2019-05-01,57.200645161290325,148.00032258064516,15.406774193548388,30.48032258064516,39.197741935483876,0.8451612903225806,11.930645161290323,50.80516129032258,0.8158064516129032,5.0525806451612905,21.542258064516126,142.16129032258064
Jaipur,2019-06-01,46.77766666666666,118.85,9.909666666666668,29.04366666666667,33.187666666666665,0.7586666666666666,11.978,54.62433333333333,0.725,3.128333333333333,25.974,119.96666666666667
Jaipur,2019-07-01,35.388064516129035,79.22258064516129,7.332903225806452,20.4741935483871,23.853548387096776,0.6870967741935484,9.518387096774193,33.31161290322581,0.37129032258064515,2.764516129032258,21.877741935483872,84.80645161290323
Jaipur,2019-08-01,26.462903225806453,56.802903225806446,10.109354838709677,23.703870967741935,28.12,0.6806451612903226,9.358709677419355,25.318709677419356,0.38225806451612904,3.2516129032258063,31.181612903225805,65.83870967741936
